subjectID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q16,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q45,region,q1_T2,q2_T2,q3_T2,q4_T2,q5_T2,q6_T2,q7_T2,q8_T2,q9_T2,q10_T2,q16_T2,q20_T2,q21_T2,q22_T2,q23_T2,q24_T2,q25_T2,q26_T2,q27_T2,q28_T2,q29_T2,q30_T2,q31_T2,q45_T2,Employment Status,Student Status,Sex,age
sub00314,58.0,63.0,72.0,97.0,74.0,82.0,79.0,82.0,65.0,66.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,28.0
sub01082,27.0,14.0,60.0,61.0,35.0,47.0,36.0,62.0,58.0,65.0,66.0,37.0,18.0,3.0,0.0,0.0,19.0,83.0,10.0,86.0,96.0,98.0,100.0,78.0,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0
sub00653,2.0,18.0,83.0,100.0,0.0,18.0,4.0,29.0,93.0,28.0,15.0,75.0,72.0,85.0,98.0,82.0,21.0,0.0,4.0,2.0,85.0,68.0,65.0,75.0,California,50.0,13.0,58.0,83.0,31.0,37.0,78.0,69.0,100.0,67.0,41.0,79.0,75.0,77.0,59.0,49.0,19.0,25.0,26.0,63.0,100.0,57.0,25.0,66.0,Part-Time,Yes,Male,19.0
sub00227,14.0,74.0,6.0,72.0,7.0,30.0,39.0,56.0,32.0,77.0,12.0,78.0,62.0,42.0,34.0,19.0,20.0,10.0,15.0,16.0,60.0,22.0,24.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,Yes,Female,22.0
sub01445,26.0,45.0,68.0,31.0,16.0,30.0,38.0,29.0,58.0,64.0,11.0,15.0,0.0,0.0,1.0,0.0,6.0,8.0,12.0,1.0,64.0,75.0,23.0,70.0,California,32.0,48.0,81.0,52.0,55.0,35.0,50.0,70.0,81.0,70.0,87.0,13.0,0.0,0.0,0.0,1.0,23.0,13.0,77.0,60.0,59.0,21.0,18.0,84.0,Part-Time,No,Female,30.0
sub01155,47.0,89.0,51.0,69.0,93.0,78.0,82.0,66.0,83.0,95.0,84.0,28.0,7.0,0.0,0.0,0.0,33.0,80.0,8.0,3.0,98.0,100.0,31.0,100.0,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,43.0
sub00734,12.0,48.0,100.0,67.0,16.0,14.0,75.0,96.0,10.0,89.0,16.0,33.0,0.0,0.0,0.0,0.0,71.0,53.0,20.0,65.0,27.0,3.0,69.0,75.0,California,6.0,90.0,100.0,76.0,11.0,19.0,51.0,64.0,4.0,74.0,84.0,0.0,0.0,0.0,0.0,0.0,96.0,51.0,27.0,57.0,3.0,100.0,100.0,55.0,Unemployed (and job seeking),Yes,Male,23.0
sub01179,83.0,37.0,74.0,64.0,65.0,65.0,69.0,72.0,27.0,44.0,27.0,41.0,27.0,0.0,0.0,0.0,39.0,36.0,51.0,51.0,61.0,53.0,50.0,100.0,California,27.0,16.0,6.0,87.0,50.0,50.0,50.0,51.0,83.0,100.0,23.0,4.0,1.0,0.0,0.0,0.0,49.0,50.0,50.0,49.0,83.0,62.0,64.0,100.0,,No,Male,39.0
sub00720,6.0,10.0,63.0,73.0,62.0,40.0,59.0,52.0,69.0,46.0,16.0,74.0,72.0,62.0,34.0,36.0,16.0,9.0,11.0,16.0,67.0,11.0,17.0,31.0,California,,,,,,,,,,,,,,,,,,,,,,,,,Part-Time,Yes,Female,30.0
sub00109,46.0,38.0,37.0,55.0,61.0,66.0,71.0,23.0,82.0,75.0,13.0,74.0,45.0,25.0,12.0,3.0,14.0,75.0,37.0,30.0,86.0,80.0,94.0,97.0,California,71.0,49.0,49.0,69.0,77.0,87.0,62.0,51.0,84.0,86.0,60.0,16.0,0.0,0.0,0.0,0.0,19.0,64.0,37.0,67.0,79.0,79.0,94.0,80.0,Full-Time,No,Female,31.0
